site,season,burned,tsf,ndvi_abs,ndvi_het
CG-102,15_4,prefire,-19,0.242,0.0415
CG-103,15_4,prefire,-19,0.222,0.0543
CO-TR,15_4,prefire,-7,0.179,0.0506
DO-CA3,15_4,prefire,-7,0.123,0.0594
DR-SP2,15_4,prefire,-7,0.15,0.0651
EA-MW2,15_4,prefire,-7,0.124,0.0335
FR-RO,15_4,prefire,-7,0.147,0.0373
GY-FO,15_4,prefire,-7,0.137,0.0321
IR-ME1,15_4,prefire,-7,0.165,0.0392
IRC01,15_4,prefire,-7,0.139,0.0411
IRC02,15_4,prefire,-7,0.161,0.0455
IRC03,15_4,prefire,-7,0.165,0.039
IRC04,15_4,prefire,-7,0.157,0.0297
IRC05,15_4,prefire,-7,0.149,0.0276
IRC06,15_4,prefire,-7,0.163,0.0367
IRC07,15_4,prefire,-7,0.15,0.0388
IRC09,15_4,prefire,-7,0.177,0.0398
IRC10,15_4,prefire,-7,0.174,0.0378
IRC12,15_4,prefire,-7,0.157,0.0372
IRC13,15_4,prefire,-7,0.146,0.0272
LI-ME2,15_4,prefire,-7,0.158,0.0386
LO-WE2,15_4,prefire,-7,0.148,0.0372
MO-FR1,15_4,prefire,-7,0.151,0.0387
OR-LO,15_4,prefire,-7,0.145,0.0542
OV-TR,15_4,prefire,-7,0.132,0.0356
RO-CA2,15_4,prefire,-7,0.144,0.0494
SO-GY,15_4,prefire,-7,0.135,0.0457
UP-WE,15_4,prefire,-7,0.142,0.0397
WE-TR1,15_4,prefire,-7,0.164,0.0401
WE-TR3,15_4,prefire,-7,0.152,0.0409
AG-CH,16_1,prefire,-6,0.229,0.025
AU-TR,16_1,prefire,-6,0.23,0.0343
BO-SP,16_1,prefire,-6,0.228,0.0352
BO-TR,16_1,prefire,-6,0.237,0.035
CG-001,16_1,prefire,-18,0.244,0.0618
CG-002,16_1,prefire,-18,0.231,0.0263
CG-003,16_1,prefire,-18,0.267,0.0498
CG-004,16_1,prefire,-18,0.23,0.0288
CG-005,16_1,prefire,-18,0.17,0.0229
CG-006,16_1,prefire,-18,0.172,0.0117
